taxable_year,county,fp,population,all_returns,agi,median_income,median_rank,joint_returns,joint_returns_median_income,joint_returns_median_rank,tax_assessed,latitude,longitude,new_georeferenced_column
1995,Alameda,6001,1347700,553795,23310695000,28329,8,215249,53385,5,898980000,37.72022591,-122.1643521,POINT (-122.1643521 37.72022591)
1995,Alpine,6003,1200,282,9078000,23999,20,149,39665,22,250000,38.58842891,-119.7124417,POINT (-119.7124417 38.58842891)
1995,Amador,6005,32600,12130,400931000,24729,16,6816,36520,34,11309000,38.47216216,-120.5741948,POINT (-120.5741948 38.47216216)
1995,Butte,6007,196100,66404,1927218000,20036,42,31989,32887,44,53325000,39.59127291,-121.6728818,POINT (-121.6728818 39.59127291)
1995,Calaveras,6009,36950,13978,445940000,23563,21,7912,35636,35,12215000,38.25462698,-120.4657376,POINT (-120.4657376 38.25462698)
1995,Colusa,6011,17850,7621,192947000,15960,57,4071,22548,57,5475000,39.16798125,-122.2990667,POINT (-122.2990667 39.16798125)
1995,Contra Costa,6013,867300,364395,18352497000,33006,1,166373,59638,2,773677000,37.98817952,-121.9371402,POINT (-121.9371402 37.98817952)
1995,Del Norte,6015,27600,7490,211200000,20917,38,3908,34311,39,4993000,41.70557047,-123.8920045,POINT (-123.8920045 41.70557047)
1995,El Dorado,6017,144200,46931,1929587000,30211,5,26730,47272,10,62739000,38.76394197,-120.6060593,POINT (-120.6060593 38.76394197)
1995,Fresno,6019,754100,250308,7595090000,18987,51,113263,34085,40,239304000,36.81276025,-119.6826941,POINT (-119.6826941 36.81276025)
1995,Glenn,6021,26600,9196,235838000,18214,55,4937,27509,56,5697000,39.59028676,-122.0780968,POINT (-122.0780968 39.59028676)
1995,Humboldt,6023,124500,44651,1309788000,20810,40,20310,36567,33,36923000,40.86148517,-123.8585124,POINT (-123.8585124 40.86148517)
1995,Imperial,6025,137400,45794,1104485000,14567,58,25452,19743,58,28249000,33.07729374,-114.7515356,POINT (-114.7515356 33.07729374)
1995,Inyo,6027,18450,7515,230374000,22172,31,3715,38152,26,6216000,36.63350255,-118.2559592,POINT (-118.2559592 36.63350255)
1995,Kern,6029,616700,193855,7082713000,21175,35,94712,37134,30,174345000,35.37676773,-118.8073572,POINT (-118.8073572 35.37676773)
