STATEFP,COUNTYFP,COUNTYNS,NAME,NAMELSAD,CSAFP,CBSAFP,ALAND,AWATER,INTPTLAT,INTPTLON,fullarea,YEAR_,total_burn_pyr,perc_burn
6,91,277310,Sierra,Sierra County,,,2468694582,23299110,39.5769252,-120.5219926,2489597682.80981,2000.0,67485.7675122506,0.0027107097656069
6,91,277310,Sierra,Sierra County,,,2468694582,23299110,39.5769252,-120.5219926,2489597682.80981,2001.0,2753879.3632384,0.110615437275404
6,91,277310,Sierra,Sierra County,,,2468694582,23299110,39.5769252,-120.5219926,2489597682.80981,2003.0,242930.190911149,0.0097578091668599
6,91,277310,Sierra,Sierra County,,,2468694582,23299110,39.5769252,-120.5219926,2489597682.80981,2004.0,1117228.24145766,0.0448758548086665
6,91,277310,Sierra,Sierra County,,,2468694582,23299110,39.5769252,-120.5219926,2489597682.80981,2005.0,9159884.57092617,0.367926297255714
6,91,277310,Sierra,Sierra County,,,2468694582,23299110,39.5769252,-120.5219926,2489597682.80981,2006.0,8479054.82423327,0.340579318609569
6,91,277310,Sierra,Sierra County,,,2468694582,23299110,39.5769252,-120.5219926,2489597682.80981,2007.0,185207.884490456,0.0074392696365875
6,91,277310,Sierra,Sierra County,,,2468694582,23299110,39.5769252,-120.5219926,2489597682.80981,2008.0,1930727.88030029,0.0775518025917035
6,91,277310,Sierra,Sierra County,,,2468694582,23299110,39.5769252,-120.5219926,2489597682.80981,2009.0,776234.366335282,0.0311791086445425
6,91,277310,Sierra,Sierra County,,,2468694582,23299110,39.5769252,-120.5219926,2489597682.80981,2011.0,51439.8687145194,0.0020661920224983
6,91,277310,Sierra,Sierra County,,,2468694582,23299110,39.5769252,-120.5219926,2489597682.80981,2014.0,341086.649505202,0.0137004726450518
6,91,277310,Sierra,Sierra County,,,2468694582,23299110,39.5769252,-120.5219926,2489597682.80981,2016.0,94048.2133954418,0.0037776470489519
6,91,277310,Sierra,Sierra County,,,2468694582,23299110,39.5769252,-120.5219926,2489597682.80981,2017.0,439043.728333951,0.0176351276097927
6,91,277310,Sierra,Sierra County,,,2468694582,23299110,39.5769252,-120.5219926,2489597682.80981,2019.0,80721.2629451101,0.0032423416643771
6,91,277310,Sierra,Sierra County,,,2468694582,23299110,39.5769252,-120.5219926,2489597682.80981,2020.0,95821202.9578219,3.84886295562728
6,67,277298,Sacramento,Sacramento County,472.0,40900.0,2500045887,75340560,38.4501363,-121.3443291,2573577363.69277,2001.0,5169955.86250188,0.200885970456455
6,67,277298,Sacramento,Sacramento County,472.0,40900.0,2500045887,75340560,38.4501363,-121.3443291,2573577363.69277,2002.0,2630315.15212817,0.102204627272366
6,67,277298,Sacramento,Sacramento County,472.0,40900.0,2500045887,75340560,38.4501363,-121.3443291,2573577363.69277,2004.0,2463011.479522,0.0957038056935612
6,67,277298,Sacramento,Sacramento County,472.0,40900.0,2500045887,75340560,38.4501363,-121.3443291,2573577363.69277,2005.0,418712.455640231,0.0162696665562612
6,67,277298,Sacramento,Sacramento County,472.0,40900.0,2500045887,75340560,38.4501363,-121.3443291,2573577363.69277,2015.0,1674854.22681383,0.0650788373585405
6,67,277298,Sacramento,Sacramento County,472.0,40900.0,2500045887,75340560,38.4501363,-121.3443291,2573577363.69277,2016.0,746801.778529525,0.0290180427083783
6,67,277298,Sacramento,Sacramento County,472.0,40900.0,2500045887,75340560,38.4501363,-121.3443291,2573577363.69277,2017.0,5305623.69395503,0.20615753654058
6,67,277298,Sacramento,Sacramento County,472.0,40900.0,2500045887,75340560,38.4501363,-121.3443291,2573577363.69277,2018.0,605746.21229326,0.0235371285448395
6,67,277298,Sacramento,Sacramento County,472.0,40900.0,2500045887,75340560,38.4501363,-121.3443291,2573577363.69277,2019.0,341010.873792972,0.0132504613462897
6,67,277298,Sacramento,Sacramento County,472.0,40900.0,2500045887,75340560,38.4501363,-121.3443291,2573577363.69277,2020.0,25525086.4831919,0.991813451707025
6,67,277298,Sacramento,Sacramento County,472.0,40900.0,2500045887,75340560,38.4501363,-121.3443291,2573577363.69277,2022.0,497920.304245988,0.0193473998983086
6,83,277306,Santa Barbara,Santa Barbara County,,42200.0,7080860229,2729213507,34.5366774,-120.0383645,9811768445.18185,2000.0,45006963.1825803,0.458703886399616
6,83,277306,Santa Barbara,Santa Barbara County,,42200.0,7080860229,2729213507,34.5366774,-120.0383645,9811768445.18185,2001.0,1172733.80468525,0.0119523183943576
6,83,277306,Santa Barbara,Santa Barbara County,,42200.0,7080860229,2729213507,34.5366774,-120.0383645,9811768445.18185,2002.0,31828888.063361,0.324395018504446
6,83,277306,Santa Barbara,Santa Barbara County,,42200.0,7080860229,2729213507,34.5366774,-120.0383645,9811768445.18185,2003.0,2410207.2195749,0.024564452708405
6,83,277306,Santa Barbara,Santa Barbara County,,42200.0,7080860229,2729213507,34.5366774,-120.0383645,9811768445.18185,2004.0,35273078.2788814,0.359497663198549
6,83,277306,Santa Barbara,Santa Barbara County,,42200.0,7080860229,2729213507,34.5366774,-120.0383645,9811768445.18185,2005.0,107261.544724072,0.0010931927850044
6,83,277306,Santa Barbara,Santa Barbara County,,42200.0,7080860229,2729213507,34.5366774,-120.0383645,9811768445.18185,2006.0,79224678.3861313,0.807445455207774
6,83,277306,Santa Barbara,Santa Barbara County,,42200.0,7080860229,2729213507,34.5366774,-120.0383645,9811768445.18185,2007.0,914578996.046296,9.32124520830297
6,83,277306,Santa Barbara,Santa Barbara County,,42200.0,7080860229,2729213507,34.5366774,-120.0383645,9811768445.18185,2008.0,47861413.9817617,0.487795999764593
6,83,277306,Santa Barbara,Santa Barbara County,,42200.0,7080860229,2729213507,34.5366774,-120.0383645,9811768445.18185,2009.0,435784782.807287,4.44144993068281
6,83,277306,Santa Barbara,Santa Barbara County,,42200.0,7080860229,2729213507,34.5366774,-120.0383645,9811768445.18185,2010.0,6728388.8071162,0.0685746799336692
6,83,277306,Santa Barbara,Santa Barbara County,,42200.0,7080860229,2729213507,34.5366774,-120.0383645,9811768445.18185,2011.0,5665328.29524389,0.0577401344813218
6,83,277306,Santa Barbara,Santa Barbara County,,42200.0,7080860229,2729213507,34.5366774,-120.0383645,9811768445.18185,2012.0,222597.722109491,0.0022686809554581
6,83,277306,Santa Barbara,Santa Barbara County,,42200.0,7080860229,2729213507,34.5366774,-120.0383645,9811768445.18185,2013.0,7739106.58808094,0.0788757565093303
6,83,277306,Santa Barbara,Santa Barbara County,,42200.0,7080860229,2729213507,34.5366774,-120.0383645,9811768445.18185,2014.0,2557256.27964726,0.0260631535888214
6,83,277306,Santa Barbara,Santa Barbara County,,42200.0,7080860229,2729213507,34.5366774,-120.0383645,9811768445.18185,2015.0,1308367.73805228,0.0133346780996933
6,83,277306,Santa Barbara,Santa Barbara County,,42200.0,7080860229,2729213507,34.5366774,-120.0383645,9811768445.18185,2016.0,214611575.599096,2.18728740693512
6,83,277306,Santa Barbara,Santa Barbara County,,42200.0,7080860229,2729213507,34.5366774,-120.0383645,9811768445.18185,2017.0,362210607.501743,3.6915935137015
6,83,277306,Santa Barbara,Santa Barbara County,,42200.0,7080860229,2729213507,34.5366774,-120.0383645,9811768445.18185,2018.0,4151051.22186614,0.0423068608381657
6,83,277306,Santa Barbara,Santa Barbara County,,42200.0,7080860229,2729213507,34.5366774,-120.0383645,9811768445.18185,2019.0,14332333.5293129,0.146072887975163
6,83,277306,Santa Barbara,Santa Barbara County,,42200.0,7080860229,2729213507,34.5366774,-120.0383645,9811768445.18185,2020.0,9984047.48733056,0.101755840887514
6,83,277306,Santa Barbara,Santa Barbara County,,42200.0,7080860229,2729213507,34.5366774,-120.0383645,9811768445.18185,2021.0,69308206.348614,0.706378332670991
6,83,277306,Santa Barbara,Santa Barbara County,,42200.0,7080860229,2729213507,34.5366774,-120.0383645,9811768445.18185,2022.0,500965.495377119,0.0051057614962685
6,9,1675885,Calaveras,Calaveras County,,,2641837359,43789489,38.1910682,-120.5541065,2683889948.09106,2000.0,2931408.93732878,0.109222397118547
6,9,1675885,Calaveras,Calaveras County,,,2641837359,43789489,38.1910682,-120.5541065,2683889948.09106,2001.0,44592742.9478122,1.66149670106739
6,9,1675885,Calaveras,Calaveras County,,,2641837359,43789489,38.1910682,-120.5541065,2683889948.09106,2002.0,4694202.44742319,0.174902940814022
6,9,1675885,Calaveras,Calaveras County,,,2641837359,43789489,38.1910682,-120.5541065,2683889948.09106,2003.0,1848780.26185406,0.068884354336847
6,9,1675885,Calaveras,Calaveras County,,,2641837359,43789489,38.1910682,-120.5541065,2683889948.09106,2004.0,31216161.0148379,1.16309392779092
6,9,1675885,Calaveras,Calaveras County,,,2641837359,43789489,38.1910682,-120.5541065,2683889948.09106,2005.0,1124163.23707668,0.0418855936278702
6,9,1675885,Calaveras,Calaveras County,,,2641837359,43789489,38.1910682,-120.5541065,2683889948.09106,2006.0,2656216.32252724,0.0989688986471482
6,9,1675885,Calaveras,Calaveras County,,,2641837359,43789489,38.1910682,-120.5541065,2683889948.09106,2007.0,2165092.66226481,0.0806699493697479
6,9,1675885,Calaveras,Calaveras County,,,2641837359,43789489,38.1910682,-120.5541065,2683889948.09106,2008.0,947299.698654972,0.0352957728139616
6,9,1675885,Calaveras,Calaveras County,,,2641837359,43789489,38.1910682,-120.5541065,2683889948.09106,2009.0,2308085.73434582,0.0859977785597158
6,9,1675885,Calaveras,Calaveras County,,,2641837359,43789489,38.1910682,-120.5541065,2683889948.09106,2011.0,3912330.10250489,0.145770883984553
6,9,1675885,Calaveras,Calaveras County,,,2641837359,43789489,38.1910682,-120.5541065,2683889948.09106,2012.0,5789113.41677574,0.215698613905287
6,9,1675885,Calaveras,Calaveras County,,,2641837359,43789489,38.1910682,-120.5541065,2683889948.09106,2013.0,233297.06810165,0.008692497554439
6,9,1675885,Calaveras,Calaveras County,,,2641837359,43789489,38.1910682,-120.5541065,2683889948.09106,2015.0,272069308.818189,10.1371261147165
6,9,1675885,Calaveras,Calaveras County,,,2641837359,43789489,38.1910682,-120.5541065,2683889948.09106,2016.0,5435226.5905578,0.202513020119311
6,9,1675885,Calaveras,Calaveras County,,,2641837359,43789489,38.1910682,-120.5541065,2683889948.09106,2017.0,1491031.43518248,0.0555548649169833
6,9,1675885,Calaveras,Calaveras County,,,2641837359,43789489,38.1910682,-120.5541065,2683889948.09106,2018.0,24728776.6492162,0.921378190890606
6,9,1675885,Calaveras,Calaveras County,,,2641837359,43789489,38.1910682,-120.5541065,2683889948.09106,2019.0,275436.405766099,0.0102625819647339
6,9,1675885,Calaveras,Calaveras County,,,2641837359,43789489,38.1910682,-120.5541065,2683889948.09106,2020.0,12099776.6052031,0.450829834278755
6,9,1675885,Calaveras,Calaveras County,,,2641837359,43789489,38.1910682,-120.5541065,2683889948.09106,2021.0,3252932.25111204,0.121202147406443
6,9,1675885,Calaveras,Calaveras County,,,2641837359,43789489,38.1910682,-120.5541065,2683889948.09106,2022.0,7604416.5338583,0.283335631524944
6,111,277320,Ventura,Ventura County,348.0,37100.0,4767622161,947345735,34.3587477,-119.1331453,5716181204.4238,2000.0,4782543.83029944,0.0836667638632273
6,111,277320,Ventura,Ventura County,348.0,37100.0,4767622161,947345735,34.3587477,-119.1331453,5716181204.4238,2001.0,2616993.42237405,0.0457821984430574
6,111,277320,Ventura,Ventura County,348.0,37100.0,4767622161,947345735,34.3587477,-119.1331453,5716181204.4238,2002.0,87592654.6787731,1.53236315550991
6,111,277320,Ventura,Ventura County,348.0,37100.0,4767622161,947345735,34.3587477,-119.1331453,5716181204.4238,2003.0,623578963.331988,10.9090132210889
6,111,277320,Ventura,Ventura County,348.0,37100.0,4767622161,947345735,34.3587477,-119.1331453,5716181204.4238,2004.0,652396.636092594,0.0114131552650518
6,111,277320,Ventura,Ventura County,348.0,37100.0,4767622161,947345735,34.3587477,-119.1331453,5716181204.4238,2005.0,94903327.5143174,1.66025750619786
6,111,277320,Ventura,Ventura County,348.0,37100.0,4767622161,947345735,34.3587477,-119.1331453,5716181204.4238,2006.0,660934692.456243,11.5625217049582
6,111,277320,Ventura,Ventura County,348.0,37100.0,4767622161,947345735,34.3587477,-119.1331453,5716181204.4238,2007.0,191858719.650573,3.35641423512068
6,111,277320,Ventura,Ventura County,348.0,37100.0,4767622161,947345735,34.3587477,-119.1331453,5716181204.4238,2008.0,7936762.39866697,0.138847284836328
6,111,277320,Ventura,Ventura County,348.0,37100.0,4767622161,947345735,34.3587477,-119.1331453,5716181204.4238,2009.0,73787111.9361262,1.29084627126624
6,111,277320,Ventura,Ventura County,348.0,37100.0,4767622161,947345735,34.3587477,-119.1331453,5716181204.4238,2010.0,498730.742776235,0.0087248938572882
