,month,fibs_code,disaster_count
0,1970-09,06001,1
1,1970-09,06029,1
2,1970-09,06037,1
3,1970-09,06071,1
4,1970-09,06073,1
5,1970-09,06111,1
6,1978-10,06037,1
7,1980-11,06037,1
8,1980-11,06059,1
9,1980-11,06065,1
10,1980-11,06071,1
11,1982-04,06059,1
12,1985-06,06053,1
13,1985-06,06073,1
14,1985-06,06079,1
15,1985-06,06085,1
16,1985-06,06087,1
17,1985-06,06111,1
18,1988-09,06057,1
19,1988-09,06089,1
20,1988-09,06095,1
21,1988-09,06115,1
22,1990-06,06037,1
23,1990-06,06065,1
24,1990-06,06071,1
25,1990-06,06083,1
26,1991-10,06001,1
27,1992-04,06037,1
28,1992-08,06009,1
29,1992-08,06089,1
30,1993-10,06037,1
31,1993-10,06059,1
32,1993-10,06065,1
33,1993-10,06071,1
34,1993-10,06073,1
35,1993-10,06111,1
36,1996-10,06037,1
37,1996-10,06059,1
38,1996-10,06073,1
39,1996-10,06111,1
40,1999-08,06007,1
41,1999-08,06023,1
42,1999-08,06055,1
43,1999-08,06063,1
44,1999-08,06071,1
45,1999-08,06089,1
46,1999-08,06103,1
47,1999-08,06105,1
48,1999-08,06109,1
49,1999-08,06115,1
50,2002-02,06073,1
51,2002-05,06059,1
52,2002-06,06037,1
53,2002-06,06071,2
54,2002-07,06029,1
55,2002-07,06073,1
56,2002-09,06037,2
57,2002-09,06061,1
58,2002-09,06071,1
59,2002-09,06085,1
60,2002-09,06087,1
61,2002-09,06089,1
62,2003-01,06037,1
63,2003-06,06029,2
64,2003-07,06065,2
65,2003-08,06065,1
66,2003-08,06071,1
67,2003-09,06071,1
68,2003-10,06037,2
69,2003-10,06065,3
70,2003-10,06071,3
71,2003-10,06073,2
72,2003-10,06089,1
73,2003-10,06111,3
74,2004-04,06065,1
75,2004-05,06065,2
76,2004-06,06083,1
77,2004-07,06017,1
78,2004-07,06037,3
79,2004-07,06065,2
80,2004-07,06073,1
81,2004-08,06007,1
82,2004-08,06009,1
83,2004-08,06061,1
84,2004-08,06089,3
85,2004-09,06009,1
86,2004-09,06033,1
87,2004-09,06043,2
88,2004-09,06097,1
89,2005-07,06039,1
90,2005-08,06089,1
91,2005-08,06103,1
92,2005-09,06037,1
93,2005-09,06073,1
94,2005-09,06111,1
95,2005-10,06065,1
96,2005-10,06073,1
97,2005-11,06111,1
98,2006-02,06059,1
99,2006-02,06065,1
100,2006-07,06071,1
101,2006-07,06073,1
102,2006-07,06105,1
103,2006-09,06065,1
104,2006-09,06111,1
105,2006-10,06065,1
106,2006-12,06111,1
107,2007-03,06059,1
108,2007-05,06037,2
109,2007-06,06017,1
110,2007-06,06089,1
111,2007-07,06027,1
112,2007-07,06037,1
113,2007-09,06071,1
114,2007-09,06073,1
115,2007-10,06037,2
116,2007-10,06059,2
117,2007-10,06065,2
118,2007-10,06071,2
119,2007-10,06073,2
120,2007-10,06083,2
121,2007-10,06111,2
122,2008-04,06037,1
123,2008-05,06085,1
124,2008-05,06087,1
125,2008-06,06007,3
126,2008-06,06029,1
127,2008-06,06043,1
128,2008-06,06045,1
129,2008-06,06053,1
130,2008-06,06063,2
131,2008-06,06083,1
132,2008-06,06085,1
133,2008-06,06087,2
134,2008-06,06089,1
135,2008-06,06105,1
136,2008-06,06554,1
137,2008-09,06061,1
138,2008-10,06037,2
139,2008-11,06037,2
140,2008-11,06059,2
141,2008-11,06065,2
142,2008-11,06071,1
143,2008-11,06083,1
144,2009-05,06083,1
145,2009-08,06037,2
146,2009-08,06057,1
147,2009-08,06061,1
148,2009-08,06071,2
149,2009-08,06087,1
150,2009-08,06115,1
151,2009-09,06111,1
152,2009-10,06071,1
153,2010-07,06029,2
154,2010-07,06037,1
155,2010-08,06029,1
156,2010-09,06029,1
157,2010-09,06081,1
158,2011-09,06029,2
159,2011-09,06071,1
160,2012-08,06033,1
161,2012-08,06089,1
162,2012-08,06103,1
163,2012-09,06073,1
164,2012-09,06522,1
165,2013-05,06037,1
166,2013-05,06065,1
167,2013-05,06111,1
168,2013-07,06825,1
169,2013-08,06043,1
170,2013-08,06065,2
171,2013-08,06109,2
172,2013-09,06089,1
173,2014-01,06037,1
174,2014-05,06073,2
175,2014-07,06055,1
176,2014-08,06029,1
177,2014-08,06035,1
178,2014-08,06039,1
179,2014-08,06049,1
180,2014-08,06089,2
181,2014-08,06093,1
182,2014-08,06105,1
183,2014-09,06017,1
184,2014-09,06039,1
185,2014-09,06043,1
186,2014-09,06093,1
187,2014-10,06061,1
188,2015-07,06033,1
189,2015-07,06055,1
190,2015-07,06071,1
191,2015-07,06095,1
192,2015-07,06113,1
193,2015-09,06005,1
194,2015-09,06009,2
195,2015-09,06033,2
196,2015-09,06055,1
197,2015-09,06097,1
198,2016-06,06029,1
199,2016-06,06037,2
200,2016-06,06073,1
201,2016-07,06019,1
202,2016-07,06037,2
203,2016-07,06053,1
204,2016-08,06029,1
205,2016-08,06033,1
206,2016-08,06071,2
207,2016-08,06079,1
208,2016-08,06107,1
209,2017-07,06007,1
210,2017-07,06043,1
211,2017-08,06039,1
212,2017-08,06043,1
213,2017-08,06105,1
214,2017-08,06107,1
215,2017-09,06037,1
216,2017-09,06039,1
217,2017-09,06059,1
218,2017-09,06065,1
219,2017-10,06007,1
220,2017-10,06033,1
221,2017-10,06045,1
222,2017-10,06055,1
223,2017-10,06057,1
224,2017-10,06059,2
225,2017-10,06065,1
226,2017-10,06095,1
227,2017-10,06097,1
228,2017-10,06115,1
229,2017-12,06037,5
230,2017-12,06065,1
231,2017-12,06073,3
232,2017-12,06083,2
233,2017-12,06111,2
234,2018-06,06033,1
235,2018-06,06089,1
